"","id","site","transect","code","length","comment","sppR.comp","real.date","comm.date","season","surveyor","urch","removals"
"1",1,"ON","ON0","SFR",14,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"2",2,"ON","ON0","PCA",26,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"3",3,"ON","ON0","PCA",32,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"4",4,"ON","ON0","PCA",35,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"5",5,"ON","ON0","PCA",31,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"6",6,"ON","ON0","PCA",32,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"7",7,"ON","ON0","Hen",8,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"8",8,"ON","ON0","JZO",8,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"9",9,"ON","ON1","SDR",2,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"10",10,"ON","ON1","SFR",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"11",11,"ON","ON1","SFR",11,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"12",12,"ON","ON1","CFO",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"13",13,"ON","ON1","CFO",8,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"14",14,"ON","ON1","Nuc",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"15",15,"ON","ON1","Nuc",6,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"16",16,"ON","ON1","OKO",31,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"17",17,"ON","ON1","Hen",31,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"18",18,"ON","ON1","JZO",9,"was ""Jar"", jaritania - ha",1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"19",19,"ON","ON2","SFR",13,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"20",20,"ON","ON2","SFR",12,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"21",21,"ON","ON2","SFR",3,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"22",22,"ON","ON2","TCAn",4,NA,1,2007-12-08,2007-12-10,"winter","KT","u_con","no"
"23",23,"ON","ON3","SFR",6,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"24",24,"ON","ON3","SFR",10,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
"25",25,"ON","ON3","SFR",5,NA,1,2007-12-08,2007-12-10,"winter","KT","u_rem","no"
