,code,species
1,Aca,NA
2,ACO,NA
3,AHA,NA
4,AHU,NA
5,ANA,NA
6,Cad,NA
7,CAN,NA
8,CCU,NA
9,CDE,NA
10,CFO,NA
11,Chl,NA
12,CLI,NA
13,CLU,NA
14,COR,NA
15,CPA,NA
16,Cry,NA
17,CST,NA
18,DAL,NA
19,DDI,NA
20,Den,NA
21,DIM,NA
22,DMO,NA
23,DOD,NA
24,dorid,NA
25,DRU,NA
26,DSA,NA
27,EQU,NA
28,ETR,NA
29,Fla,NA
30,FOR,NA
31,FORem,NA
32,FTR,NA
33,FVE,NA
34,GHE,NA
35,HCR,NA
36,HDE,NA
37,Hen,NA
38,hermit,NA
39,Hya,NA
40,JFU,NA
41,JZO,NA
42,LCO,NA
43,lithode,NA
44,LMA,NA
45,Mop,NA
46,Nuc,NA
47,OEL,NA
48,OGR,NA
49,OKO,NA
50,OPI,NA
51,PCA,NA
52,perch,NA
53,PGR,NA
54,PHE,NA
55,Pho,NA
56,Pla,NA
57,PNO,NA
58,POR,NA
59,PPA,NA
60,PPR,NA
61,PSCH,NA
62,PTE,NA
63,Pug,NA
64,RNI,NA
65,RWO,NA
66,SAC,NA
67,SCR,NA
68,sculpin,NA
69,SDR,NA
70,Seb,NA
71,SEM,NA
72,SFL,NA
73,SFR,NA
74,shrimp,NA
75,SMA,NA
76,SME,NA
77,SST,NA
78,TCAn,NA
79,TCAt,NA
80,TFE,NA
81,Ton,NA
82,WNEM,NA
