orig.order,quadrat,transect,site,year,era,real.date,comm.date,urch,chit,treat,BASP,CCAP,EALM,RFSP,OPCA,RBSP,AGFI,BFSP,DICL,Cris,HEPA,PHPA,BRUP,SPS1,SPS3,SPS8,SPS9,SPS10,SPOT,MSP1,SYSP,SCUN,BRSH,EUBI,DELI,HYSP,EPSC,BAEL,MEFA.c,MEFA,ANE1,GERU,DOCO,DOFE,TUBE,PSOC,VECO,BACR,PSCH,TETR,CHHA,POMA,META,PYST,PEAN,CLHU,DICA,TCM3,DITR,EUPU,SYPA,APPO,APSO,TCM2,TCOT,BOVI,Chel,Core,CNFI,HAIG,Stye,ASPA,TSV1,TSV2,TSOT,INOT,OTHE,HBCO,FUZZ,SHEL,RUBB,richness,diversity,evenness,DETRITUS,BASP,CCAP,EALM,RBSP,RFSP,KELP,HYSP,BRUP,HBCO,SPEN,SPUP,BREN,ZOAN,STCO,SOCO,ANEM,TUCL,TUSO,BARN,PSOL,BRAC,BIVA,ASSO,ASCO,ASUN,FG.detail.R,FG.detail.D,FG.detail.E,space,macroalgae,sponge,hydroid,bryozoan,clonascid,cloninvert,solinvert
1,A1,A1,SC,1968,Birkeland,23669,23674,NA,NA,NA,0.129449838,0.056865465,0.083680074,0,0,0,0,0,0,0.004623209,0,0,0,0.037216828,0,0,0,0,0,0,0,0,0.03236246,0,0,0,0.092926491,0,0,0,0,0,0,0,0.005085529,0,0,0,0,0.013869626,0,0.004623209,0.397595932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009246417,0.004623209,0,0,0,0,0,0,0,0,0,0.055709663,0.023809524,0,0.048312529,10,1.19508839,0.519020293,0.127831715,0.129449838,0.056865465,0.083680074,0,0,0,0,0.004623209,0.055709663,0.037216828,0,0.03236246,0.092926491,0,0,0,0,0.005085529,0,0,0.013869626,0.004623209,0.397595932,0,0.013869626,10,1.370522809,0.595210493,0.269995377,0,0.037216828,0,0.036985668,0.397595932,0.092926491,0.037447989
2,B1,B1,SC,1968,Birkeland,23669,23674,NA,NA,NA,0.011887073,0.005943536,0.237741456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029717682,0.053491828,0,0,0.023774146,0.0897474,0,0,0,0,0,0,0.005943536,0.000297177,0,0,0.124814264,0.030014859,0,0,0.166419019,0,0,0,0.166419019,0,0,0,0,0,0,0,0,0.000297177,0,0,0,0,0,0,0,0,0,0,0.017830609,0,0.029717682,0.005943536,0,11,1.893153453,0.789506312,0.053491828,0.011887073,0.005943536,0.237741456,0,0,0,0,0,0,0,0,0.08320951,0.023774146,0.0897474,0,0,0,0.006240713,0,0.124814264,0.030014859,0,0.166419019,0.166419019,0.000297177,9,1.812933168,0.825101442,0.255572065,0,0,0,0.08320951,0.332838039,0.023774146,0.251114413
3,C1,C1,SC,1968,Birkeland,23669,23674,NA,NA,NA,0,0.04635591,0.272984806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257533,0,0,0.005150657,0.01545197,0,0,0.597476178,0.062322946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.459190775,0.28531127,0,0,0.04635591,0.272984806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257533,0,0.005150657,0.01545197,0,0.659799124,0,0,4,0.156043838,0.112561835,0.319340716,0,0,0,0,0.659799124,0,0.02086016
4,D1,D1,SC,1968,Birkeland,23691,23674,NA,NA,NA,0.006784261,0.156037992,0.12890095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047489824,0,0,0,0,0.047489824,0,0,0.007462687,0,0,0,0,0.001017639,0,0,0.088195387,0.006784261,0,0,0.075644505,0,0,0,0.366350068,0,0,0,0,0,0.040705563,0,0,0,0,0,0.013568521,0,0,0,0,0,0,0,0,0.006784261,0.006784261,0,0,10,1.55430764,0.675027231,0.013568521,0.006784261,0.156037992,0.12890095,0,0,0,0,0,0.006784261,0,0,0.047489824,0,0.047489824,0,0.007462687,0,0.001017639,0,0.088195387,0.006784261,0,0.075644505,0.407055631,0.013568521,10,1.405124542,0.610237835,0.291723202,0,0,0,0.047489824,0.482700136,0,0.164518318
5,A1,A1,SC,1969,Birkeland,23794,23773,NA,NA,NA,0.215053763,0.114484503,0.139152435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056925996,0,0,0,0.177103099,0.006325111,0,0,0,0,0,0,0.006325111,0,0,0,0,0.025300443,0,0,0.246679317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012650221,0,0,0,6,1.217684746,0.679602796,0.012650221,0.215053763,0.114484503,0.139152435,0,0,0,0,0,0.012650221,0,0,0.056925996,0.177103099,0.006325111,0,0,0,0.006325111,0,0,0.025300443,0,0.246679317,0,0,7,1.301208186,0.66868873,0.468690702,0,0,0,0.056925996,0.246679317,0.177103099,0.037950664
6,B1,B1,SC,1969,Birkeland,23758,23773,NA,NA,NA,0,0.006749916,0.229497131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053999325,0.040499494,0,0,0.006749916,0.094498819,0,0,0,0,0,0,0,0.007087411,0,0,0.195747553,0.034087074,0,0,0.115086061,0,0,0,0.155248059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053999325,0.006749916,0,9,1.854796747,0.844154378,0.060749241,0,0.006749916,0.229497131,0,0,0,0,0,0,0,0,0.094498819,0.006749916,0.094498819,0,0,0,0.007087411,0,0.195747553,0.034087074,0,0.115086061,0.155248059,0,8,1.76299921,0.847823406,0.236247047,0,0,0,0.094498819,0.270334121,0.006749916,0.331420857
7,C1,C1,SC,1969,Birkeland,23758,23773,NA,NA,NA,0.005514199,0.089054315,0.380479735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005514199,0,0,0,0,0,0,0,0,0,0,0,0,0.006065619,0,0,0.005514199,0.011304108,0,0,0.479735318,0.016818307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.422454722,0.235776469,0,0.005514199,0.089054315,0.380479735,0,0,0,0,0,0,0,0,0.005514199,0,0,0,0,0,0.006065619,0,0.005514199,0.011304108,0,0.496553626,0,0,5,0.282510536,0.175533665,0.475048249,0,0,0,0.005514199,0.496553626,0,0.022883926
8,D1,D1,SC,1969,Birkeland,23758,23773,NA,NA,NA,0.006548788,0.229535036,0.144073346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045841519,0,0,0,0,0.045841519,0,0,0.002292076,0,0,0,0,0.000982318,0,0,0.065487885,0.006548788,0,0,0.020301244,0,0,0,0.268827767,0,0,0,0,0,0.052390308,0,0,0,0,0,0.013097577,0,0,0,0,0,0,0,0,0.006548788,0.091683039,0,0,10,1.569884041,0.681791976,0.098231827,0.006548788,0.229535036,0.144073346,0,0,0,0,0,0.006548788,0,0,0.045841519,0,0.045841519,0,0.002292076,0,0.000982318,0,0.065487885,0.006548788,0,0.020301244,0.321218075,0.013097577,10,1.346671324,0.584851925,0.380157171,0,0,0,0.045841519,0.341519319,0,0.134250164
9,A1,A1,SC,1969,Birkeland,23849,23849,NA,NA,NA,0.205504587,0.117798165,0.16146789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124770642,0,0,0,0.124770642,0,0,0,0,0,0,0,0.008073394,0.022752294,0,0,0,0.036697248,0,0,0.168807339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029357798,0,0,6,1.472061158,0.821572975,0.029357798,0.205504587,0.117798165,0.16146789,0,0,0,0,0,0,0,0,0.124770642,0.124770642,0,0,0,0,0.030825688,0,0,0.036697248,0,0.168807339,0,0,5,1.435578269,0.89197493,0.484770642,0,0,0,0.124770642,0.168807339,0.124770642,0.067522936
10,B1,B1,SC,1969,Birkeland,23849,23849,NA,NA,NA,0,0.006872852,0.302405498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048109966,0.05532646,0,0,0.006872852,0.096563574,0,0,0,0,0,0,0,0.008247423,0,0,0.144329897,0.027835052,0,0,0.097250859,0,0,0,0.068728522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013745704,0,0.109965636,0.013745704,0,9,1.930148497,0.878448438,0.137457045,0,0.006872852,0.302405498,0,0,0,0,0,0,0,0,0.103436426,0.006872852,0.096563574,0,0,0,0.008247423,0,0.144329897,0.027835052,0,0.097250859,0.068728522,0,8,1.801015486,0.86610537,0.309278351,0,0,0,0.103436426,0.165979381,0.006872852,0.276975945
