quad,site,real.date,comm.date,month,urch,chit,treat,BASP,CCAP,EALM,RFSP,OPCA,RBSP,AGFI,BFSP,DICL,Cris,HEPA,PHPA,BRUP,HBCO,SPS1,SPS3,SPS8,SPS9,SPS10,SPOT,MSP1,SYSP,SCUN,BRSH,EUBI,DELI,HYSP,EPSC,BAEL,MEFA.t,GERU,DOCO,DOFE,TUBE,PSOC,VECO,BACR,PSCH,TETR,CHHA,POMA,META,PYST,PEAN,CLHU,DICA,TCM3,DITR,EUPU,SYPA,APPO,APSO,TCM2,TCOT,BOVI,Chel,Core,CNFI,HAIG,Stye,ASPA,TSV1,TSV2,TSOT,INOT,OTHE,SHEL,FUZZ,RUBB,richness,diversity,evenness,DETRITUS,BASP,CCAP,EALM,RBSP,RFSP,KELP,HYSP,BRUP,HBCO,SPEN,SPUP,BREN,ZOAN,STCO,SOCO,ANEM,TUCL,TUSO,BARN,PSOL,BRAC,BIVA,ASSO,ASCO,ASUN,space,macroalgae,redalgae,sponge,hydroid,bryozoan,clonascid,cloninvert,solinvert,invert.tot,,
ON0_45,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.079606649,0.035354718,0.438070709,0,0,0.004682744,0,0,0,0,0,0,0,0.035120581,0.032779209,0,0,0,0,0,0,0,0.002458441,0.014048232,0,0,0,0,0,0,0,0,0,0.051744322,0.002926715,0.007024116,0,0,0.000117069,0.002341372,0,0.084991805,0,0,0,0,0,0,0,0,0,0,0,0,0.000117069,0,0,0,0,0,0,0,0,0,0,0,0.098454694,0.07035823,0.039803325,14,1.402361852,0.531387415,0.208616249,0.079606649,0.035354718,0.438070709,0.004682744,0,0,0,0,0.035120581,0.032779209,0,0.016506673,0,0,0,0,0,0.061695153,0,0,0.000117069,0.002341372,0.084991805,0,0.000117069,0.553032077,0.004682744,0.004682744,0.032779209,0,0.016506673,0.084991805,0,0.064270663,0.23366893,,
ON0_46,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0.190481341,0.041103299,0.383017847,0,0,0.004326663,0,0,0,0,0,0,0,0.006489995,0.151433207,0,0,0,0,0,0,0,0,0.012979989,0,0,0,0,0.004326663,0,0,0,0,0.002163332,0.006598161,0.019469984,0,0,0,0,0,0.028231476,0,0,0,0,0,0,0,0,0,0.004326663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129908058,0.015143321,0,12,1.349245752,0.542976434,0.145051379,0.190481341,0.041103299,0.383017847,0.004326663,0,0,0,0,0.006489995,0.151433207,0,0.012979989,0,0.004326663,0,0,0,0.028231476,0,0,0,0,0.028231476,0.004326663,0,0.614602488,0.004326663,0.004326663,0.151433207,0,0.012979989,0.03255814,0,0.03255814,0.23601947,,
ON0_48,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0.172054104,0.105456213,0.295735901,0,0,0.006877579,0,0,0,0,0,0,0,0.15130674,0.112448418,0,0,0.006877579,0,0.004585053,0,0,0.006877579,0.022925264,0,0,0,0,0.002407153,0,0,0,0,0.006877579,0.002407153,0.011462632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036680422,0.055020633,0,13,1.673389013,0.652406258,0.091701055,0.172054104,0.105456213,0.295735901,0.006877579,0,0,0,0,0.15130674,0.12391105,0,0.029802843,0,0.002407153,0,0,0,0.020747364,0,0,0,0,0,0,0,0.573246217,0.006877579,0.006877579,0.12391105,0,0.029802843,0,0,0.023154516,0.328175149,,
ON0_49,ON,8-Dec-07,39426,712,u_con,c_con,u_con.c_con,0.061217549,0.034009749,0.408116994,0,0,0,0,0,0,0,0,0,0,0.015871216,0.034009749,0,0,0,0,0.002267317,0,0,0,0.024940483,0,0,0,0,0.022673166,0,0,0,0,0,0.018138533,0,0,0,0,0,0,0.034123115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335562861,0.009069267,0,9,1.231807295,0.56061966,0.344632128,0.061217549,0.034009749,0.408116994,0,0,0,0,0,0.015871216,0.036277066,0,0.024940483,0,0.022673166,0,0,0,0.018138533,0,0,0,0,0.034123115,0,0,0.503344292,0,0,0.036277066,0,0.024940483,0.034123115,0,0.040811699,0.15202358,,
ON1_17,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.017278386,0.002361022,0.768405237,0,0,0,0,0,0,0,0,0,0,0,0.008585533,0,0,0,0,0,0,0,0,0.036595836,0,0,0,0,0,0,0,0,0,0.000107319,0.004400086,0,0.002146383,0,0,0,0,0.039600773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017385705,0.10313372,0,8,0.483278578,0.232407869,0.120519425,0.017278386,0.002361022,0.768405237,0,0,0,0,0,0,0.008585533,0,0.036595836,0,0,0,0,0,0.004507405,0.002146383,0,0,0,0.039600773,0,0,0.788044645,0,0,0.008585533,0,0.036595836,0.039600773,0,0.006653788,0.09143593,,
ON1_84,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.14299857,0.035199648,0.492795072,0,0,0,0,0,0,0,0,0,0,0.026399736,0.01099989,0,0,0,0,0,0,0,0.004399956,0.01099989,0,0.002199978,0,0,0,0,0,0,0,0,0.004399956,0,0,0,0,0,0.006599934,0.078099219,0,0,0,0,0,0,0,0,0,0,0,0,0.002199978,0.002199978,0,0,0,0,0,0,0,0,0,0,0.070509295,0.1099989,0,12,1.060929623,0.426949488,0.180508195,0.14299857,0.035199648,0.492795072,0,0,0,0,0,0.026399736,0.01099989,0,0.017599824,0,0,0,0,0,0.004399956,0,0,0,0.006599934,0.078099219,0,0.004399956,0.67099329,0,0,0.01099989,0,0.017599824,0.078099219,0,0.015399846,0.148498515,,
ON1_85,ON,8-Dec-07,39426,712,u_rem,c_rem,u_rem.c_rem,0.077652769,0.002206045,0.589013898,0,0,0,0,0,0,0,0,0,0,0.04853298,0.028678579,0,0,0,0,0,0,0,0,0.015442312,0,0.002206045,0.028678579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017648356,0.024376792,0,0,0,0,0,0,0,0,0,0,0,0,0.002206045,0.006618134,0,0,0,0,0,0,0,0,0,0,0.015552614,0.141186852,0,11,0.989688987,0.412732365,0.156739466,0.077652769,0.002206045,0.589013898,0,0,0,0.028678579,0,0.04853298,0.028678579,0,0.017648356,0,0,0,0,0,0,0,0,0,0.017648356,0.024376792,0,0.008824178,0.668872711,0,0,0.028678579,0.028678579,0.017648356,0.024376792,0,0.026472535,0.174387823,,
ON1_86,ON,8-Dec-07,39426,712,u_rem,c_con,u_rem.c_con,0.072871737,0.006810443,0.456413167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031782066,0,0,0,0.347673099,0,0,0,0,0,0.013620885,0.018501703,0,0,0,0,0,0.002270148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043246311,0.006810443,0,7,1.026154484,0.527339088,0.050056754,0.072871737,0.006810443,0.456413167,0,0,0,0,0,0,0,0,0.031782066,0.347673099,0,0,0,0,0.032122588,0,0,0,0.002270148,0,0,0,0.536095346,0,0,0,0,0.031782066,0,0.347673099,0.034392736,0.4138479,,
ON2_43,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0,0.047644771,0.529386344,0,0,0,0,0,0,0,0,0,0,0.041054451,0.082108902,0,0,0,0,0,0,0,0.017286085,0.008643042,0,0,0,0,0,0,0,0,0,0.00875108,0.000216076,0.056179775,0.009183232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011560069,0.187986171,0,10,1.248330065,0.542142859,0.19954624,0,0.047644771,0.529386344,0,0,0,0,0,0.041054451,0.082108902,0,0.025929127,0,0,0,0,0,0.065146932,0.009183232,0,0,0,0,0,0,0.577031115,0,0,0.082108902,0,0.025929127,0,0,0.074330164,0.223422645,,
ON2_44,ON,8-Dec-07,39426,712,u_con,c_rem,u_con.c_rem,0,0.038921833,0.552021563,0,0,0,0,0,0,0,0,0,0,0.11212938,0.125067385,0,0,0,0,0,0,0,0.010781671,0,0,0,0,0,0.004312668,0,0,0,0,0.015202156,0.0006469,0.004312668,0.006576819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002156334,0,0,0,0,0,0,0,0,0,0,0.015525606,0.099299191,0.013045822,11,1.204937104,0.502497802,0.12787062,0,0.038921833,0.552021563,0,0,0,0,0,0.11212938,0.125067385,0,0.010781671,0,0.004312668,0,0,0,0.020161725,0.006576819,0,0,0,0,0,0.002156334,0.590943396,0,0,0.125067385,0,0.010781671,0,0,0.033207547,0.281185984,,
