"","quadrat","transect","site","year","era","real.date","comm.date","urch","chit","treat","removals","bare_rock","encrusting_coralline_algae","encrusting_non_calcified_algae","red_foliose_algae","Opuntiella_californica","red_filamentous_algae","Agarum_fimbriatum","brown_foliose_algae","Diapoeroecia_californica","Crisia_spp","Heteropora_pacifica","Phidolopora_pacifica","bryozoan_erect","Haliclona_spp1","Antho_lambei","Haliclona_spp2","sponge_other","Sycon_spp","Schizoporella_japonica","bryozoan_encrusting","Eurystomella_bilabiata","Dendrobeania_lichenoides","hydroid_other","Epizoanthus_scotinus","Balanophyllia_elegans","Metridium_spp","Gersemia_rubiformis","Dodecaceria_concharum","Dodecaceria_fewkesii","tube_calcareous","Pseudochitinopoma_occidentalis","Vermetus_compactus","Balanus_crenatus","Psolus_chitinoides","Terebratalia_transversa","Chlamys_hastata","Pododesmus_macrochisma","Metandrocarpa_taylori","Pycnoclavella_stanleyi","Perophora_annectans","Clavelina_huntsmani","Didemnum_carnulentum","Distaplia_occidentalis","Aplidium_solidum","tunicate_clonal_other","Boltenia_villosa","Chelyosoma_spp","Corella_spp","Cnemidocarpa_finmarkiensis","Halocynthia_igaboja","Styela_spp","Ascida_paratropa","tunicate_solitary_other","invert_other","other","hydro_bryo_complex","fuzz","shell_debris","rubble"
"1","A1","A1","SC",1968,"Birkeland","10/20/68","10/25/68",NA,NA,NA,NA,0.129449838,0.056865465,0.083680074,0,0,0,0,0,0,0.004623209,0,0,0,0.037216828,0,0,0,0,0,0.03236246,0,0,0,0.092926491,0,0,0,0,0,0.005085529,0,0,0,0,0.013869626,0,0.004623209,0.397595932,0,0,0,0,0,0,0,0,0.009246417,0.004623209,0,0,0,0,0,0,0,0.055709663,0.023809524,0,0.048312529
"2","B1","B1","SC",1968,"Birkeland","10/20/68","10/25/68",NA,NA,NA,NA,0.011887073,0.005943536,0.237741456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029717682,0.053491828,0,0,0.023774146,0.0897474,0,0,0,0,0.005943536,0.000297177,0,0,0.124814264,0.030014859,0,0,0.166419019,0,0,0,0.166419019,0,0,0,0.000297177,0,0,0,0,0,0,0,0,0.017830609,0,0.029717682,0.005943536,0
"3","C1","C1","SC",1968,"Birkeland","10/20/68","10/25/68",NA,NA,NA,NA,0,0.04635591,0.272984806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000257533,0,0,0.005150657,0.01545197,0,0,0.597476178,0.062322946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","D1","D1","SC",1968,"Birkeland","11/11/68","10/25/68",NA,NA,NA,NA,0.006784261,0.156037992,0.12890095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047489824,0,0,0,0,0.047489824,0.007462687,0,0,0,0,0.001017639,0,0,0.088195387,0.006784261,0,0,0.075644505,0,0,0,0.366350068,0,0.040705563,0,0,0,0,0.013568521,0,0,0,0,0,0,0.006784261,0.006784261,0,0
"5","A1","A1","SC",1969,"Birkeland","2/22/69","2/1/69",NA,NA,NA,NA,0.215053763,0.114484503,0.139152435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056925996,0,0,0,0.177103099,0.006325111,0,0,0,0,0.006325111,0,0,0,0,0.025300443,0,0,0.246679317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012650221,0,0,0
"6","B1","B1","SC",1969,"Birkeland","1/17/69","2/1/69",NA,NA,NA,NA,0,0.006749916,0.229497131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053999325,0.040499494,0,0,0.006749916,0.094498819,0,0,0,0,0,0.007087411,0,0,0.195747553,0.034087074,0,0,0.115086061,0,0,0,0.155248059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053999325,0.006749916,0
"7","C1","C1","SC",1969,"Birkeland","1/17/69","2/1/69",NA,NA,NA,NA,0.005514199,0.089054315,0.380479735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005514199,0,0,0,0,0,0,0,0,0,0,0.006065619,0,0,0.005514199,0.011304108,0,0,0.479735318,0.016818307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","D1","D1","SC",1969,"Birkeland","1/17/69","2/1/69",NA,NA,NA,NA,0.006548788,0.229535036,0.144073346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045841519,0,0,0,0,0.045841519,0.002292076,0,0,0,0,0.000982318,0,0,0.065487885,0.006548788,0,0,0.020301244,0,0,0,0.268827767,0,0.052390308,0,0,0,0,0.013097577,0,0,0,0,0,0,0.006548788,0.091683039,0,0
"9","A1","A1","SC",1969,"Birkeland","4/18/69","4/18/69",NA,NA,NA,NA,0.205504587,0.117798165,0.16146789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124770642,0,0,0,0.124770642,0,0,0,0,0,0.008073394,0.022752294,0,0,0,0.036697248,0,0,0.168807339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029357798,0,0
"10","B1","B1","SC",1969,"Birkeland","4/18/69","4/18/69",NA,NA,NA,NA,0,0.006872852,0.302405498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048109966,0.05532646,0,0,0.006872852,0.096563574,0,0,0,0,0,0.008247423,0,0,0.144329897,0.027835052,0,0,0.097250859,0,0,0,0.068728522,0,0,0,0,0,0,0,0,0,0,0,0,0.013745704,0,0.109965636,0.013745704,0
"11","C1","C1","SC",1969,"Birkeland","4/20/69","4/18/69",NA,NA,NA,NA,0.016648169,0.099889012,0.654827969,0,0,0,0,0,0.00554939,0,0,0,0,0,0,0,0,0,0,0.016648169,0,0,0,0,0,0,0,0,0,0,0.000554939,0,0,0.00554939,0.022475028,0,0,0.138734739,0.039123196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","D1","D1","SC",1969,"Birkeland","4/18/69","4/18/69",NA,NA,NA,NA,0.02728513,0.198158254,0.14324693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728513,0,0,0,0,0.034447476,0.007503411,0,0,0,0,0.001023192,0,0,0.068553888,0.006821282,0,0,0.082537517,0,0,0,0.246248295,0,0.054570259,0,0.006821282,0,0,0.006821282,0,0,0,0,0,0,0,0.088676671,0,0
"13","A1","A1","SC",1969,"Birkeland","8/31/69","8/31/69",NA,NA,NA,NA,0.210696921,0.081037277,0.162074554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032414911,0,0,0,0.151269584,0,0,0,0,0,0.005672609,0,0,0.011075095,0,0.021609941,0,0,0.313344138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01080497,0,0
"14","B1","B1","SC",1969,"Birkeland","8/31/69","8/31/69",NA,NA,NA,NA,0,0.000335008,0.180904523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013400335,0.060301508,0,0,0.007035176,0.093802345,0,0,0,0,0,0.006700168,0,0,0.18760469,0.034170854,0,0,0.194304858,0,0,0,0.053936348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167504188,0,0
"15","C1","C1","SC",1969,"Birkeland","8/31/69","8/31/69",NA,NA,NA,NA,0.053444181,0.024049881,0.255344418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005938242,0,0,0,0,0,0,0,0,0,0,0.000296912,0,0.558194774,0.005938242,0.011876485,0,0,0.07304038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011876485,0
