date,date1,Willow,Frost,Humphrey,Rosario,Turn,PG,ON,SC,wi.sd,fi.sd,hh.sd,rw.sd,ti.sd,pg.sd,on.sd,sc.sd,wi.se,fi.se,hh.se,rw.se,ti.se,pg.se,on.se,sc.se,Hoodsport
7/29/12,41119,10.92145833,10.8344375,11.15202083,11.780625,10.37770833,10.5260625,10.70641667,10.4395,0.173964897,0.121761872,0.362200866,0.101842729,0.226003574,0.326044143,0.306373769,0.231398707,0.02510967,0.017574812,0.052279192,0.014699732,0.032620806,0.047060418,0.044221245,0.033399526,9.781321375
7/30/12,41120,10.943125,10.8338125,10.973625,11.54520833,10.25541667,10.44108333,10.47970833,10.30033333,0.202874621,0.191029201,0.237847316,0.18830701,0.17140171,0.249794455,0.313078602,0.194211262,0.029282429,0.02757269,0.034330303,0.027179776,0.024739706,0.036054724,0.045189004,0.028031981,9.552721658
7/31/12,41121,10.82833333,10.72039583,10.92725,11.065,10.16020833,10.25647917,10.28033333,10.260125,0.187982948,0.110034567,0.270949512,0.239289729,0.150141629,0.178472596,0.244809117,0.169456154,0.027133001,0.015882122,0.039108193,0.034538497,0.021671078,0.0257603,0.035335152,0.024458889,9.552324875
8/1/12,41122,10.79708333,10.67502083,10.94852083,10.78104167,10.10375,10.1599375,10.17308333,10.13091667,0.237477509,0.147512349,0.312666772,0.146407179,0.101491536,0.129579419,0.219321568,0.132355876,0.034276926,0.021291574,0.045129561,0.021132056,0.014649041,0.018703178,0.031656342,0.019103925,9.568398867
8/2/12,41123,10.663125,10.71116667,10.88420833,10.63604167,10.11375,10.17120833,10.23641667,10.131875,0.104884055,0.146254999,0.149186155,0.041857895,0.099586913,0.146158899,0.276562781,0.064051384,0.015138709,0.021110091,0.021533167,0.006041667,0.014374133,0.02109622,0.039918399,0.009245021,9.544818433
8/3/12,41124,10.700625,10.82664583,11.00654167,10.63,10.23958333,10.3241875,10.48679167,10.18133333,0.074130599,0.155611421,0.263547885,3.93E-07,0.142678903,0.281335543,0.488100354,0.095636798,0.01069983,0.022460574,0.038039861,5.68E-08,0.020593926,0.040607288,0.070451218,0.013803983,9.642408525
8/4/12,41125,10.91916667,10.97314583,11.2701875,10.71458333,10.51979167,10.61208333,11.19545833,10.68989583,0.165835516,0.198990857,0.432901623,0.133208497,0.299769341,0.36152401,1.187966579,0.377905608,0.023936295,0.028721856,0.062483967,0.01922699,0.043267977,0.052181496,0.171468206,0.054545976,9.8928398
8/5/12,41126,11.30854167,11.1670625,11.50395833,11.083125,10.80770833,10.7751875,11.593125,10.93270833,0.211166865,0.135103964,0.308033913,0.238587655,0.328071344,0.283046395,1.164008584,0.324776189,0.030479312,0.019500578,0.044460866,0.034437162,0.04735302,0.040854228,0.168010167,0.046877405,9.750240125
8/6/12,41127,11.369375,11.38622917,11.5338125,11.63916667,10.95354167,11.00277083,11.77004167,11.03645833,0.164503201,0.182271978,0.341248624,0.323148298,0.298595931,0.368983667,1.030699514,0.287035839,0.023743992,0.026308694,0.049254996,0.046642439,0.04309861,0.053258205,0.14876866,0.041430055,9.63612385
8/7/12,41128,11.38520833,11.31875,11.43870833,12.42645833,11.02583333,11.01629167,11.52075,10.9175,0.163016636,0.172904167,0.286054299,0.191427889,0.322845285,0.437316914,0.499842294,0.322290407,0.023529425,0.024956567,0.041288382,0.027630236,0.046598703,0.06312126,0.072146021,0.046518613,9.702931125
8/8/12,41129,11.32104167,11.28729167,11.41385417,12.28145833,10.9575,10.973375,11.49979167,10.8509375,0.112273215,0.162090723,0.28122566,0.186695674,0.331267713,0.49643262,0.396378068,0.269045943,0.016205243,0.023395781,0.040591428,0.026947199,0.047814376,0.071653877,0.057212246,0.038833437,9.728234342
8/9/12,41130,11.38583333,11.2168125,11.49935417,12.16833333,11.02583333,11.03895833,11.42435417,10.915,0.152634082,0.179212302,0.343246484,0.331427174,0.372237818,0.4991942,0.325065001,0.282190067,0.022030832,0.025867068,0.049543362,0.047837392,0.053727901,0.072052476,0.046919091,0.040730628,9.864132875
8/10/12,41131,11.46520833,11.24720833,11.69225,11.65166667,10.91541667,11.07095833,11.4364375,10.98604167,0.190910356,0.182401353,0.528110341,0.323316151,0.34069365,0.480250775,0.379646359,0.367712536,0.027555536,0.026327368,0.076226162,0.046666667,0.049174893,0.069318229,0.054797232,0.053074733,9.5746211
8/11/12,41132,11.60833333,11.33341667,11.74454167,11.6575,10.869375,11.2638125,11.99970833,11.45189583,0.322901298,0.191385745,0.447046428,0.218724543,0.282431737,0.299590121,0.735188613,0.253776182,0.046606788,0.027624153,0.064525594,0.031570168,0.04076551,0.043242109,0.106115336,0.036629437,9.45113785
8/12/12,41133,11.70854167,11.49702083,12.10895833,11.81958333,11.18125,11.5425625,12.44358333,11.8388125,0.180895992,0.282632344,0.516342125,0.353095481,0.545666194,0.619075423,1.384861232,0.704588869,0.026110087,0.040794465,0.074527566,0.050964943,0.078760131,0.08935584,0.199887501,0.101698643,9.409898158
8/13/12,41134,11.96583333,11.70945833,12.09608333,12.33583333,11.46395833,11.74958333,12.6750625,12.00654167,0.255466476,0.290384335,0.449081419,0.413741791,0.729160811,0.851769768,1.396971746,0.668407124,0.03687341,0.041913369,0.064819319,0.059718484,0.105245298,0.122942376,0.201635503,0.096476258,9.35926325
8/14/12,41135,12.09,11.74091667,12.36210417,14.23145833,11.46395833,11.48345833,12.69583333,11.7660625,0.220241647,0.237657704,0.705102535,0.287350254,0.574862572,0.72054719,1.06805754,0.511062448,0.031789144,0.034302935,0.101772785,0.041475437,0.082974265,0.104002029,0.154160827,0.07376551,9.372081692
8/15/12,41136,12.150625,11.91654167,12.15279167,13.578125,11.4375,11.65075,12.56777083,11.78883333,0.342657985,0.387861785,0.364640946,0.759730233,0.58118917,0.771885327,1.091548563,0.660635488,0.04945842,0.055983026,0.052631387,0.109657614,0.083887431,0.11141205,0.157551464,0.095354519,9.403566183
8/16/12,41137,12.19333333,11.94410417,12.0764375,12.36604167,11.28125,11.66452083,12.58979167,11.57089583,0.419459294,0.421242399,0.465973924,0.25723356,0.567257775,0.760768508,1.135036075,0.629286399,0.060543734,0.060801103,0.067257543,0.037128466,0.081876607,0.109807476,0.163828346,0.090829668,9.518250217
8/17/12,41138,12.14020833,11.91710417,11.934625,12.25125,11.21395833,11.5359375,12.4026875,11.32283333,0.421469009,0.337160246,0.418588694,0.228776812,0.403161652,0.644446271,0.89503458,0.452141539,0.060833812,0.04866489,0.060418074,0.033021089,0.058191372,0.093017807,0.129187114,0.06526101,9.332425433
8/18/12,41139,11.91375,11.66752083,11.76654167,12.47479167,10.934375,11.20989583,11.8103125,11.02383333,0.290755619,0.26028871,0.298438985,0.196045908,0.373373957,0.553389911,0.586016235,0.483066373,0.041966959,0.037569439,0.043075957,0.02829679,0.053891889,0.079874953,0.084584158,0.069724625,9.339710092
