site,site.no,region,region.col,richness,richplus,mob.count,mob.rich,space.per,sedim.per,space,sedim,ENCA,ENNA,Rfil,Rfol,BOPS,OPCA,AGFI,HYSP,Abie,Lafo,Agla,Hal1,ANLA,Hal2,SYSP,SYAM,CLCE,XEHI,MYLA,SPOT,POPA,LEUC,EPSC,BAEL,Metr,CRFE,Urti,EPLI,GERU,Alcy,DOCO,DOFE,TUCA,TUOT,PSOC,PISP,PHCL,VECO,POMA,BACR,BANU,PSCH,TETR,META,DICA,DIOC,PYST,PEAN,CLHU,APCA,APSO,TCOT,Trid,Chel,Core,CNFI,HAIG,Stye,ASPA,TSOT,PYHA,BOVI,SCUN,EUBI,BREN,DELI,DICL,Cris,CEDI,HEPA,PHPA,DEMU,BRER,SFR,SDR,Hen,PHE,SST,ETR,PTE,Oph,PCA,EQU,CPI,PLU,CUWH,CST,Ton,Mop,LME,Chi,Lot,AMI,CCU,Lim,CLI,CAN,CAL,Tro,Amp,GA1,OLU,TCAn,CFO,FOR,NUC,BMU,GAS,ACO,GHE,DSA,CMO,LCO,CLU,ANA,Dorid,TFE,JFU,DAL,HCR,DDI,Fla,Aeo,SAC,COR,LMA,MQU,Her,Shr,JZO,AHA,Gunnel
FI,11,Sound,lightblue1,6.5,8,1.8125,1.3125,11.37,37.5025,0.113671875,0.375,0.6875,0.8125,0.125,0.3125,0,0,0,0.625,0,0.0625,0,0,0,0,0.1875,0,0,0,0.8125,0.0625,0,0,0,0.3125,0,0,0,0,0,0,0,0,0.3125,0,0.8125,0,0,0,0.3125,0.375,0,0,0.125,0.9375,0,0,0,0,0,0,0,0,0,0.125,0,0.0625,0.0625,0.125,0,0,0,0.0625,0,0,0.25,0,0.1875,0.1875,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.375,0.125,0,0
HH,10,Sound,lightblue1,4.4375,5.1875,0.875,0.75,3.516875,59.104375,0.03515625,0.591015625,0.5,0.25,0,0,0,0,0,0.8125,0,0,0,0,0,0,0.625,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.125,0,0,0,0.125,0.25,0,0.0625,0,0.75,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.875,0,0,0.25,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0.125,0,0,0,0,0,0.375,0.0625,0,0
KB,2,Haro,red,16.79166667,18.58333333,4.458333333,2.875,21.38291667,0,0.213802083,0,1,0.791666667,0.625,0.958333333,0,0,0.208333333,0.541666667,0.333333333,0.041666667,0.875,0.458333333,0.416666667,0.708333333,0.166666667,0,0,0.083333333,0,0.625,0,0.125,0,0.541666667,0.625,0,0,0,0.041666667,0.291666667,0.083333333,0,0.375,0,0.416666667,0.5,0,0,0.125,0.041666667,0,0.458333333,0.375,0.833333333,0.666666667,0.291666667,0.791666667,0.166666667,0,0.5,0.5,0.041666667,0,0.166666667,0.333333333,0,0,0,0,0.041666667,0.083333333,0.208333333,0.25,0,0.75,0,0.5,0.875,0,0,0,0,0.041666667,0.041666667,0,0.083333333,0,0,0,0,0.291666667,0,0.041666667,0.041666667,0,0.041666667,0,0.375,0.166666667,0.125,0,0,0,0,0,0.333333333,0,0.041666667,0.375,0.125,0.083333333,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.041666667,0.041666667,0,0,0,0.208333333,0,0.083333333,0,0,0,0.041666667,0.041666667,0.125,0,0.041666667
LB,13,Georgia,green,10.125,11.625,3.916666667,2.666666667,11.14833333,2.55375,0.111458333,0.025520833,0.791666667,0.708333333,0.125,0,0,0,0,0.25,0,0,0,0.5,0.416666667,0,0,0,0.041666667,0.083333333,0,0.791666667,0,0,0,0.458333333,0.5,0,0.041666667,0,0,0,0.208333333,1,0.583333333,0,0.25,0.25,0,0,0.041666667,0,0,0.375,0.625,0.125,0.041666667,0.166666667,0,0,0,0,0,0,0.208333333,0,0,0,0,0,0,0,0,0.125,0.166666667,0.625,0.833333333,0,0.75,0.041666667,0,0.041666667,0,0.041666667,0,0,0,0.25,0,0,0,0,0.041666667,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0.5,0,0,0.166666667,0.458333333,0.083333333,0.083333333,0.291666667,0.041666667,0,0,0,0.208333333,0.041666667,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.125,0,0.041666667,0.041666667,0
LI,4,Haro,red,11.33333333,13.25,15.04166667,3.875,27.00791667,0,0.270052083,0,0.916666667,1,0.583333333,0.875,0,0,0.041666667,0.458333333,0.541666667,0,0.083333333,0.041666667,0.416666667,0.333333333,0.041666667,0,0,0.041666667,0.041666667,0.833333333,0,0.041666667,0,0.458333333,0.833333333,0,0.041666667,0.375,0,0,0,0,0.166666667,0,0.166666667,0.083333333,0,0,0,0.041666667,0.125,0.416666667,0.416666667,0.208333333,0.333333333,0.291666667,0.041666667,0,0,0,0.25,0.166666667,0.208333333,0.083333333,0.041666667,0.125,0,0,0,0,0.083333333,0.125,0.416666667,0.041666667,0.541666667,0,0.125,0.291666667,0,0,0,0,0,0,0,0.083333333,0,0,0,0.083333333,0.125,0,0.25,0,0.25,0,0,0.416666667,0.208333333,0.166666667,0.125,0.041666667,0,0,0,0.708333333,0,0,0.291666667,0.375,0,0.083333333,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0.166666667,0,0.041666667,0,0.041666667,0,0.166666667,0,0,0.166666667,0
LK,3,Haro,red,10.91666667,12.875,5.5,3.625,36.64208333,0,0.36640625,0,0.958333333,1,0.708333333,0.833333333,0,0,0.708333333,0.625,0.166666667,0.166666667,0.375,0,0.333333333,0.166666667,0,0,0,0.041666667,0,0.25,0,0.083333333,0,0.333333333,0.208333333,0,0,0,0.083333333,0.083333333,0.083333333,0,0.333333333,0,0.833333333,0.333333333,0,0,0.208333333,0.208333333,0,0.208333333,0.541666667,0.375,0.041666667,0,0.041666667,0,0,0.041666667,0,0,0,0.125,0.208333333,0,0,0,0,0,0.083333333,0.208333333,0.416666667,0.041666667,1,0.041666667,0.416666667,0.583333333,0,0,0,0.208333333,0.083333333,0,0,0.041666667,0,0.041666667,0,0,0.125,0,0.041666667,0,0,0,0,0.5,0.166666667,0.375,0,0.041666667,0.041666667,0,0.166666667,0.333333333,0.041666667,0,0.291666667,0.583333333,0.041666667,0,0.041666667,0,0,0,0,0.166666667,0,0,0,0,0.041666667,0,0,0.041666667,0,0,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0,0.25,0.041666667,0.083333333,0,0
LP,14,Georgia,green,13.375,15.25,5.208333333,3.333333333,27.71,3.230416667,0.277083333,0.032291667,1,0.875,0.041666667,0.125,0,0,0.041666667,0.5,0.458333333,0.166666667,0.166666667,0.25,0.083333333,0.333333333,0,0,0.083333333,0.041666667,0,0.541666667,0,0,0,0.875,0.416666667,0,0,0,0,0,0,0.708333333,0.625,0.083333333,0.791666667,0.375,0,0,0.083333333,0,0,0.75,0.833333333,0.625,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.083333333,0,0,0,0.041666667,0.25,0.333333333,0.875,0.166666667,0.666666667,0.958333333,0,0,0.041666667,0.208333333,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0.25,0,0,0.041666667,0,0,0,0.291666667,0.041666667,0.083333333,0,0,0,0,0.041666667,0.5,0,0,0.291666667,0.458333333,0,0.083333333,0.291666667,0,0,0,0,0.125,0,0,0,0,0.041666667,0.083333333,0,0,0,0,0,0,0.083333333,0.166666667,0,0.041666667,0.041666667,0,0,0.166666667,0.041666667,0.041666667,0.041666667,0
ON,5,Channel,yellow,10.16666667,12.125,2.958333333,2.125,24.27333333,2.500416667,0.242791667,0.025041667,0.958333333,1,0.541666667,0.333333333,0,0.041666667,0,0.625,0.208333333,0.125,0.041666667,0.833333333,0.166666667,0,0.166666667,0,0,0,0,0.416666667,0,0,0.041666667,0.791666667,0.083333333,0,0,0,0,0,0,0,0.875,0,0.708333333,0.166666667,0,0.458333333,0,0.333333333,0,0.041666667,0.25,0.416666667,0,0.041666667,0.041666667,0,0,0,0,0,0,0.125,0.041666667,0,0,0,0,0,0.083333333,0.083333333,0.708333333,0.166666667,1,0.083333333,0,0,0,0,0.041666667,0,0.041666667,0.041666667,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.166666667,0.041666667,0,0,0,0,0,0,0.166666667,0,0,0.083333333,0.166666667,0,0,0.208333333,0.041666667,0.041666667,0,0,0.125,0,0,0,0.083333333,0,0,0.041666667,0.041666667,0,0,0,0,0,0.041666667,0,0.083333333,0,0,0,0.416666667,0.166666667,0.125,0,0
PG,7,Channel,yellow,9.166666667,11.08333333,10.125,3.5,35.20958333,0,0.352208333,0,0.958333333,0.958333333,0.708333333,0.541666667,0,0.041666667,0.125,0.541666667,0.5,0.083333333,0,0,0.041666667,0.125,0,0,0,0,0,0.291666667,0,0.041666667,0,0.791666667,0.041666667,0,0,0,0,0.041666667,0.208333333,0,0.375,0,0.583333333,0.041666667,0,0,0,0.041666667,0,0.25,0.5,0.416666667,0.208333333,0.208333333,0,0,0,0,0,0,0,0,0.041666667,0.125,0,0,0,0,0,0,0.291666667,0.708333333,0.75,0.208333333,0.333333333,0.416666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.708333333,0.125,0.083333333,0,0.041666667,0,0,0,0.583333333,0,0,0.791666667,0.25,0,0,0.208333333,0,0,0,0,0.041666667,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0.083333333,0,0.333333333,0,0.041666667,0.041666667,0
PP,16,Hood,blue,6.625,8.625,0.833333333,0.708333333,35.67958333,24.455,0.356770833,0.24453125,1,1,0,0.416666667,0.375,0,0,0.041666667,0,0.041666667,0,0,0,0,0,0.166666667,0.833333333,0,0,0.333333333,0.291666667,0,0.041666667,0,0,0,0,0,0,0,0,0,0.958333333,0,0.75,0,0.083333333,0,0.625,0.25,0,0.083333333,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0.125,0,0,0.708333333,0,0,0,0,0.291666667,0,0,0,0,0,0.041666667,0,0,0.083333333,0,0,0,0,0,0.041666667,0,0.125,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.083333333,0.041666667,0,0
