Region,Site,Cluster,Tag.no,Depth.corrected,Clod.no,Site.clod,Surf.area,Initial.mass,Final.mass.24,Final.mass.48,Final.mass.72,Final.mass.96,Final.mass.120,Final.mass.144,Final.mass.mean,dissolution,Days.elapsed,Diss.day,Diss.day.cm2
Channel,ON,2,26,38,421,ON421,58.71,165.18,114.93,109.31,105.33,101.34,97.55,99.11,99.33333333,0.398635832,6.774305556,0.058845269,0.001002304
Channel,ON,2,27,43,420,ON420,60.725625,176.37,136.17,128.69,124.3,120.31,115.75,117.27,117.7766667,0.332218253,6.774305556,0.049040931,0.000807582
Channel,ON,2,28,42,419,ON419,57.12,163.11,122.09,116,111.78,108,103.33,104.71,105.3466667,0.35413729,6.774305556,0.052276545,0.000915206
Channel,SC,1,29,42,422,SC422,61.2375,172.09,101.06,95.98,92.8,88.95,85.17,86.74,86.95333333,0.494721754,6.805555556,0.072693809,0.00118708
Channel,SC,1,30,38,423,SC423,60.580625,161.65,92.48,88.12,84.44,82.2,80.22,81.72,81.38,0.496566656,6.805555556,0.072964896,0.001204426
Channel,SC,1,15,42,424,SC424,61.48,176.05,120.81,115.16,111.61,108,103.58,104.42,105.3333333,0.401685127,6.805555556,0.059023121,0.000960038
Channel,PG,1,31,51,425,PG425,57.605625,169.49,92.38,87.25,83.4,81.47,78.61,80.17,80.08333333,0.527504081,6.760416667,0.078028339,0.001354526
Channel,PG,1,32,43,426,PG426,62.803125,171.77,75.12,70.84,68.15,66.86,64.75,65.73,65.78,0.61704605,6.760416667,0.091273376,0.001453325
Channel,PG,1,33,47,427,PG427,58.9375,164.25,28.95,26.52,26.15,26.1,24.87,25.31,25.42666667,0.845195332,6.760416667,0.125021189,0.00212125
Channel,TI,1,34,42,428,TI428,63.22,178.36,98.68,94.15,88.92,84.98,86.5,86.82,86.1,0.517268446,7.770833333,0.066565376,0.001052916
Channel,TI,1,35,42,429,TI429,60.255625,165.62,77.61,73.75,69.37,66.94,68.5,68.52,67.98666667,0.589502073,7.770833333,0.075860857,0.001258984
Channel,TI,1,36,44,430,TI430,60.42,163.92,81.41,77.23,73.51,71.91,73.36,73.42,72.89666667,0.555291199,7.770833333,0.071458385,0.001182694
Sound,RW,2,37,43,431,RW431,61.8125,165.73,143.65,138.54,131.74,125.1,125.72,125.69,125.5033333,0.242724109,6.798611111,0.035702014,0.000577586
Sound,RW,2,38,45,432,RW432,57.598125,156.33,132.8,128.36,120.95,114.67,115.66,115.6,115.31,0.262393654,6.798611111,0.038595185,0.000670077
Sound,RW,2,39,41,433,RW433,60.42,165.41,141.74,136.31,129.83,122.45,123.84,124.66,123.65,0.252463575,6.798611111,0.037134581,0.000614607
Sound,HH,2,40,46,434,HH434,59.683125,168,137.09,132.78,127.28,119.17,119.16,119.12,119.15,0.29077381,6.788194444,0.042835221,0.000717711
Sound,HH,2,41,34,435,HH435,58.24,166.91,135.63,130.96,124,116.91,117.79,117.86,117.52,0.295907974,6.788194444,0.043591558,0.000748481
Sound,HH,2,42,37,436,HH436,63.22,168.07,133.98,128.44,121.63,115.67,117.23,118.03,116.9766667,0.304000317,6.788194444,0.044783678,0.000708378
Sound,FI,2,43,47,437,FI437,57.840625,161.67,96.5,90.33,87.48,87.36,87.39,87.42,87.39,0.459454444,8.569444444,0.053615429,0.000926951
Sound,FI,2,44,52,438,FI438,61.400625,172.41,105.72,98.5,95.43,95.43,95.44,95.44,95.43666667,0.446455155,8.569444444,0.052098495,0.000848501
Sound,FI,2,45,43,439,FI439,60.328125,165.8,85.1,80.59,79.72,80.54,80.57,80.58,80.56333333,0.514093285,8.569444444,0.059991437,0.000994419
Sound,WI,2,46,42,440,WI440,62.9625,169.08,122.06,115.46,107.42,107.31,107.19,107.21,107.2366667,0.365763741,7.569444444,0.048321081,0.000767458
Sound,WI,2,47,44,441,WI441,60.255625,166.75,117.37,110.25,102.67,102.98,103.1,103.11,103.0633333,0.381929035,7.569444444,0.05045668,0.000837377
Sound,WI,2,48,38,442,WI442,64.803125,184.85,136.97,128,120.06,120.29,120.64,120.68,120.5366667,0.347921738,7.569444444,0.045963973,0.000709286
