Station,Station.code,Region,Reference Station,Day,curr.mean,curr.max,ms.mean,ms.max
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,1,1.35,2.3,0.6939,1.1822
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,2,1.375,2.2,0.70675,1.1308
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,3,1.375,2.1,0.70675,1.0794
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,4,1.3,1.9,0.6682,0.9766
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,5,1.066666667,1.7,0.548266667,0.8738
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,6,1.075,1.7,0.55255,0.8738
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,7,0.975,1.7,0.50115,0.8738
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,8,0.875,1.7,0.44975,0.8738
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,9,0.75,1.6,0.3855,0.8224
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,10,0.725,1.6,0.37265,0.8224
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,11,0.75,1.6,0.3855,0.8224
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,12,1,1.6,0.514,0.8224
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,13,0.85,1.6,0.4369,0.8224
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,14,0.95,1.7,0.4883,0.8738
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,15,1.05,1.8,0.5397,0.9252
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,16,1.15,1.9,0.5911,0.9766
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,17,1.225,1.9,0.62965,0.9766
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,18,1.275,1.9,0.65535,0.9766
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,19,1.3,1.9,0.6682,0.9766
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,20,1.3,2,0.6682,1.028
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,21,1.033333333,1.5,0.531133333,0.771
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,22,1.175,2,0.60395,1.028
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,23,1.1,2,0.5654,1.028
"Turn Point, Boundary Pass",A,Haro,Admiralty Inlet,24,1.025,2,0.52685,1.028
