orig.order,region,site.orig,site,transect,depth,CST,SFR,Hen,DIM,ETR,PHE,SST,PCA
10,Georgia,LB,LB,LB1_58,16.1544,0,2,4,0,0,0,0,1
11,Georgia,LB,LB,LB2_66,18.5928,0,0,0,9,0,0,0,0
12,Georgia,LB,LB,LB3_58,16.1544,0,0,4,0,0,0,0,0
14,Georgia,LB,LB,LB5_64,17.9832,0,1,2,0,0,0,0,0
15,Georgia,LB,LB,LB6_62,17.3736,0,0,5,0,0,0,0,0
16,Georgia,LB,LB,LB7_50,13.716,0,0,7,0,0,0,0,0
20,Haro,LI,LI,LI2_63,17.9832,0,0,6,0,0,0,0,0
21,Haro,LI,LI,LI3_49,13.716,0,0,1,0,0,1,0,0
23,Haro,LI,LI,LI5_60,17.0688,0,6,0,0,0,0,1,0
24,Haro,LI,LI,LI6_56,15.8496,0,1,0,0,0,0,0,0
25,Haro,LI,LI,LI7_54,15.24,0,1,0,0,0,0,0,0
26,Haro,LI,LI,LI8_50,14.0208,0,0,1,0,0,0,0,0
29,Haro,TP,TP,TP2_67,19.05,0,0,0,1,0,0,0,0
30,Haro,TP,TP,TP3_60,16.9164,0,0,1,0,0,0,0,0
31,Haro,TP,TP,TP4_49,13.5636,0,1,2,0,0,0,0,0
34,Haro,TP,TP,TP7_48,13.2588,0,0,1,0,0,0,0,0
53,Hood,SR.S,SR,SR.S2_63,16.764,0,0,0,0,0,0,0,1
55,Hood,SR.S,SR,SR.S4_55,14.3256,0,0,0,0,0,0,0,1
58,Hood,SR.N,SR,SR.N1_68,18.288,0,0,0,0,0,1,0,0
60,Hood,PE,PU,PE1_50,14.0208,0,0,0,0,0,0,0,3
61,Hood,PE,PU,PE2_52,14.6304,0,0,0,0,0,0,0,3
63,Hood,PE,PU,PE4_56,15.8496,0,0,0,0,0,0,0,3
66,Hood,PW,PW,PW1_60,16.002,0,0,0,0,0,1,0,2
67,Hood,PW,PW,PW2_67,18.1356,0,0,1,0,0,0,0,3
69,Hood,PW,PW,PW4_52,13.5636,0,0,0,0,0,0,0,2
70,Hood,PW,PW,PW5_48,12.3444,0,0,0,0,0,0,0,1
75,Haro,KB,KB,KB1_51,13.716,0,10,0,0,0,0,0,0
77,Haro,KB,KB,KB3_60,16.4592,1,0,1,0,0,0,0,0
78,Haro,KB,KB,KB4_53,14.3256,1,6,0,0,0,0,0,0
79,Haro,KB,KB,KB5_54,14.6304,0,0,1,0,0,0,0,0
80,Haro,KB,KB,KB6_47,12.4968,1,10,1,0,0,0,1,0
82,Channel,TI,TI,TI1_61,16.4592,0,7,0,0,0,0,0,0
84,Channel,TI,TI,TI3_49,12.8016,0,0,2,0,0,0,0,0
85,Channel,TI,TI,TI4_50,13.1064,0,0,1,0,0,0,0,0
86,Channel,TI,TI,TI5_59,15.8496,0,2,1,0,0,0,0,0
89,Sound,RW,RW,RW1_54,14.6304,0,0,0,0,0,1,0,0
91,Sound,RW,RW,RW3_51,13.716,0,0,1,2,0,1,0,0
95,Sound,RW,RW,RW7_58,15.8496,0,0,1,0,0,1,0,0
98,Georgia,SI,SI,SI3_63,17.3736,0,0,0,0,0,0,0,1
100,Georgia,SI,SI,SI5_52,14.0208,0,1,0,0,0,0,0,2
102,Georgia,LP,LP,LP1_60,15.8496,0,1,1,0,0,0,0,0
103,Georgia,LP,LP,LP2_64,17.0688,0,1,0,0,0,0,0,0
105,Georgia,LP,LP,LP4_51,13.1064,0,0,3,0,0,1,0,0
107,Georgia,LP,LP,LP6_54,14.0208,0,0,5,0,0,0,0,0
109,Sound,FI,FI,FI1_55,14.6304,0,0,0,0,0,1,0,1
110,Sound,FI,FI,FI2_53,14.0208,0,0,0,1,0,2,0,0
114,Sound,FI,FI,FI6_63,17.0688,0,0,0,0,1,1,0,0
115,Sound,FI,FI,FI7_49,12.8016,0,0,0,0,1,0,0,0
116,Sound,WI,WI,WI1_48,12.4968,0,0,0,0,0,1,0,0
120,Sound,WI,WI,WI5_53,14.0208,0,0,0,0,0,1,0,0
121,Sound,WI,WI,WI6_58,15.5448,0,0,0,1,0,0,0,0
123,Sound,HH,HH,HH1_58,15.5448,0,0,0,0,0,1,0,0
124,Sound,HH,HH,HH2_55,14.6304,0,0,0,0,1,0,0,0
125,Sound,HH,HH,HH3_65,17.6784,0,0,0,0,3,0,0,0
131,Haro,LK,LK,LK3_56,14.9352,1,5,0,0,0,0,3,0
132,Haro,LK,LK,LK4_52,13.716,1,0,2,0,0,0,2,0
133,Haro,LK,LK,LK5_56,14.9352,0,0,0,0,0,0,2,0
134,Haro,LK,LK,LK6_48,12.4968,0,0,1,1,0,0,1,0
135,Haro,LK,LK,LK7_63,17.0688,0,1,1,0,0,0,2,0
136,Haro,LK,LK,LK8_65,17.6784,0,1,3,0,0,0,2,0
137,Channel,ON,ON,ON0,14.1732,0,2,0,0,0,0,0,4
138,Channel,ON,ON,ON1,13.2588,1,5,0,0,1,0,0,1
139,Channel,ON,ON,ON2,14.6304,1,7,1,0,0,1,0,1
140,Channel,ON,ON,ON3,14.56944,0,9,0,0,0,0,0,0
141,Channel,ON,ON,ON4,16.16964,0,0,2,0,0,0,0,0
142,Channel,ON,ON,ON5,17.38884,0,0,0,0,0,0,0,3
143,Channel,PG,PG,PG1,15.60576,0,0,2,0,0,0,0,1
144,Channel,PG,PG,PG2,15.37716,0,4,4,0,0,0,0,0
145,Channel,PG,PG,PG3,14.84376,3,2,4,0,0,1,0,0
146,Channel,PG,PG,PG4,13.80744,0,2,1,0,0,1,0,0
147,Channel,PG,PG,PG5,14.64564,0,2,3,0,0,0,0,0
148,Channel,PG,PG,PG6,15.78864,0,2,2,0,0,0,0,0
149,Channel,SC,SC,SC1,12.99972,0,0,2,0,0,0,0,0
150,Channel,SC,SC,SC4,13.60932,0,0,7,0,0,0,1,1
151,Channel,SC,SC,SC5,13.15212,2,0,1,0,0,1,0,0
152,Channel,SC,SC,SC6,15.19428,1,0,3,0,0,0,0,1
153,Channel,SC,SC,SC7,15.19428,0,0,2,0,0,0,0,2
154,Channel,SC,SC,SC8,12.29868,0,0,1,0,0,0,0,0
